consumo	potencia	annus	peso	precio	origen	acel
43.1	48	78	1985	2400	2	21.5
36.1	66	78	1800	1900	1	14.4
32.8	52	78	1985	2200	3	19.4
39.4	70	78	2070	2725	3	18.6
36.1	60	78	1800	2250	3	16.4
19.9	110	78	3365	3300	1	15.5
19.4	140	78	3735	3125	1	13.2
20.2	139	78	3570	2850	1	12.8
19.2	105	78	3535	2800	1	19.2
20.5	95	78	3155	3275	1	18.2
20.2	85	78	2965	2375	1	15.8
25.1	88	78	2720	2275	1	15.4
20.5	100	78	3430	2700	1	17.2
19.4	90	78	3210	2300	1	17.2
20.6	105	78	3380	3300	1	15.8
20.8	85	78	3070	2425	1	16.7
18.6	110	78	3620	2700	1	18.7
18.1	120	78	3410	2425	1	15.1
19.2	145	78	3425	3900	1	13.2
17.7	165	78	3445	4400	1	13.4
18.1	139	78	3205	2525	1	11.2
17.5	140	78	4080	3000	1	13.7
30	68	78	2155	2100	1	16.5
27.5	95	78	2560	2975	3	14.2
27.2	97	78	2300	2775	3	14.7
30.9	75	78	2230	2250	1	14.5
21.1	95	78	2515	3700	3	14.8
23.2	105	78	2745	3200	1	16.7
23.8	85	78	2855	2400	1	17.6
23.9	97	78	2405	2975	3	14.9
20.3	103	78	2830	4475	2	15.9
17	125	78	3140	5875	2	13.6
21.6	115	78	2795	4200	2	15.7
16.2	133	78	3410	5450	2	15.8
31.5	71	78	1990	3675	2	14.9
29.5	68	78	2135	3425	3	16.6
21.5	115	79	3245	3925	1	15.4
19.8	85	79	2990	3200	1	18.2
22.3	88	79	2890	2975	1	17.3
20.2	90	79	3265	3150	1	18.2
20.6	110	79	3360	3325	1	16.6
17	130	79	3840	4650	1	15.4
17.6	129	79	3725	4850	1	13.4
16.5	138	79	3955	5725	1	13.2
18.2	135	79	3830	4025	1	15.2
16.9	155	79	4360	5225	1	14.9
15.5	142	79	4054	4825	1	14.3
19.2	125	79	3605	4100	1	15
18.5	150	79	3940	4725	1	13
31.9	71	79	1925	3100	2	14
34.1	65	79	1975	2750	3	15.2
35.7	80	79	1915	2700	1	14.4
27.4	80	79	2670	2725	1	15
25.4	77	79	3530	15475	2	20.1
23	125	79	3900	9900	1	17.4
27.2	71	79	3190	4675	2	24.8
23.9	90	79	3420	4050	1	22.2
34.2	70	79	2200	2625	1	13.2
34.5	70	79	2150	2775	1	14.9
31.8	65	79	2020	2750	3	19.2
37.3	69	79	2130	2275	2	14.7
28.4	90	79	2670	3525	1	16
28.8	115	79	2595	3625	1	11.3
26.8	115	79	2700	3525	1	12.9
33.5	90	79	2556	3325	1	13.2
41.5	76	80	2144	7000	2	14.7
38.1	60	80	1968	3850	3	18.8
32.1	70	80	2120	2900	1	15.5
37.2	65	80	2019	3525	3	16.4
28	90	80	2678	3625	1	16.5
26.4	88	80	2870	3525	1	18.1
24.3	90	80	3003	3625	1	20.1
19.1	90	80	3381	3700	1	18.7
34.3	78	80	2188	5900	2	15.8
29.8	90	80	2711	5500	3	15.5
31.3	75	80	2542	4675	3	17.5
37	92	80	2434	4050	3	15
32.2	75	80	2265	3975	3	15.2
46.6	65	80	2110	3350	3	17.9
27.9	105	80	2800	3200	1	14.4
40.8	65	80	2110	3300	3	19.2
44.3	48	80	2085	3900	2	21.7
43.4	48	80	2335	3825	2	23.7
36.4	67	80	2950	7975	2	19.9
30.4	67	80	3250	14275	2	21.8
44.6	67	80	1850	3925	3	13.8
40.9		80	1835	2575	2	17.3
33.8	67	80	2145	3625	3	18
29.8	62	80	1845	7000	2	15.3
32.7	132	80	2910	8150	3	11.4
23.7	100	80	2420	7250	3	12.5
35	88	80	2500	5000	2	15.1
23.6		80	2905	4250	1	14.3
32.4	72	80	2290	4700	3	17
27.2	84	81	2490	5100	1	15.7
26.6	84	81	2635	5175	1	16.4
25.8	92	81	2620	4950	1	14.4
23.5	110	81	2725	4550	1	12.6
30	84	81	2385	4900	1	12.9
39.1	58	81	1755	4400	3	16.9
39	64	81	1875	3600	1	16.4
35.1	60	81	1760	4000	3	16.1
32.3	67	81	2065	3950	3	17.8
37	65	81	1975	3775	3	19.4
37.7	62	81	2050	4475	3	17.3
34.1	68	81	1985	3975	3	16
34.7	63	81	2215	3450	1	14.9
34.4	65	81	2045	3850	1	16.2
29.9	65	81	2380	4100	1	20.7
33	74	81	2190	5650	2	14.2
34.5		81	2320	4600	2	15.8
33.7	75	81	2210	5550	3	14.4
32.4	75	81	2350	4650	3	16.8
32.9	100	81	2615	5825	3	14.8
31.6	74	81	2635	5650	3	18.3
28.1	80	81	3230	8500	2	20.4
	110	81	2800	8225	2	15.4
30.7	76	81	3160	8550	2	19.6
25.4	116	81	2900	9475	3	12.6
24.2	120	81	2930	8375	3	13.8
22.4	110	81	3415	6675	1	15.8
26.6	105	81	3725	6875	1	19
20.2	88	81	3060	5450	1	17.1
17.6	85	81	3465	5625	1	16.6
28	88	82	2605	5275	1	19.6
27	88	82	2640	5500	1	18.6
34	88	82	2395	5175	1	18
31	85	82	2575	5650	1	16.2
29	84	82	2525	6250	1	16
27	90	82	2735	5650	1	18
24	92	82	2865	5225	1	16.4
23		82	3035	5150	1	20.5
36	74	82	1980	5200	2	15.3
37	68	82	2025	4900	3	18.2
31	68	82	1970	5100	3	17.6
