Ciudad	Altitud	fecha	Tiempo	Distancia	Velocidad
París_	79	1900	22.2	200	9.009
San_Lu	138	1904	21.6	200	9.259
Londre	15	1908	22.4	200	8.929
Estoco	15	1912	21.7	200	9.217
Ambere	4	1920	22	200	9.091
París_	79	1924	21.6	200	9.259
Amster	-2	1928	21.8	200	9.174
Los_An	100	1932	21.2	200	9.434
Berlin	50	1936	20.7	200	9.662
Londre	15	1948	21.1	200	9.479
Helsin	25	1952	20.7	200	9.662
Melbou	115	1956	20.6	200	9.709
Roma	15	1960	20.5	200	9.756
Tokyo_	14	1964	20.3	200	9.852
Mexico	2220	1968	19.83	200	10.086
Munich	458	1972	20	200	10
Montre	53	1976	20.23	200	9.886
Moscú_	150	1980	20.19	200	9.906
Los_An	100	1984	19.8	200	10.101
Seúl	34	1988	19.75	200	10.127
Barcel	0	1992	20.01	200	9.995
Atlant	320	1996	19.32	200	10.352
París_	79	1900	49.4	400	8.097
San_Lu	138	1904	49.2	400	8.13
Londre	15	1908	50	400	8
Estoco	15	1912	48.2	400	8.299
Ambere	4	1920	49.6	400	8.065
París_	79	1924	47.6	400	8.403
Amster	-2	1928	47.8	400	8.368
Los_An	100	1932	46.2	400	8.658
Berlin	50	1936	46.5	400	8.602
Londre	15	1948	46.2	400	8.658
Helsin	25	1952	45.9	400	8.715
Melbou	115	1956	46.7	400	8.565
Roma	15	1960	44.9	400	8.909
Tokyo_	14	1964	45.1	400	8.869
Mexico	2220	1968	43.8	400	9.132
Munich	458	1972	44.66	400	8.957
Montre	53	1976	44.26	400	9.038
Moscú_	150	1980	44.6	400	8.969
Los_An	100	1984	44.27	400	9.035
Seúl	34	1988	43.87	400	9.118
Barcel	0	1992	43.5	400	9.195
Atlant	320	1996	43.49	400	9.198
París_	79	1900	121.4	800	6.59
San_Lu	138	1904	116	800	6.897
Londre	15	1908	112.8	800	7.092
Estoco	15	1912	111.9	800	7.149
Ambere	4	1920	113.4	800	7.055
París_	79	1924	112.4	800	7.117
Amster	-2	1928	111.8	800	7.156
Los_An	100	1932	109.8	800	7.286
Berlin	50	1936	112.9	800	7.086
Londre	15	1948	109.2	800	7.326
Helsin	25	1952	109.2	800	7.326
Melbou	115	1956	107.7	800	7.428
Roma	15	1960	106.3	800	7.526
Tokyo_	14	1964	105.1	800	7.612
Mexico	2220	1968	104.3	800	7.67
Munich	458	1972	105.9	800	7.554
Montre	53	1976	103.5	800	7.729
Moscú_	150	1980	105.4	800	7.59
Los_An	100	1984	104	800	7.692
Seúl	34	1988	103.45	800	7.733
Barcel	0	1992	103.66	800	7.718
Atlant	320	1996	102.58	800	7.799
París_	79	1900	246	1500	6.098
San_Lu	138	1904	245.4	1500	6.112
Londre	15	1908	243.4	1500	6.163
Estoco	15	1912	236.8	1500	6.334
Ambere	4	1920	241.8	1500	6.203
París_	79	1924	233.6	1500	6.421
Amster	-2	1928	233.2	1500	6.432
Los_An	100	1932	231.2	1500	6.488
Berlin	50	1936	227.8	1500	6.585
Londre	15	1948	225.2	1500	6.661
Helsin	25	1952	225.2	1500	6.661
Melbou	115	1956	221.2	1500	6.781
Roma	15	1960	215.6	1500	6.957
Tokyo_	14	1964	218.1	1500	6.878
Mexico	2220	1968	214.9	1500	6.98
Munich	458	1972	216.3	1500	6.935
Montre	53	1976	219.2	1500	6.843
Moscú_	150	1980	218.4	1500	6.868
Los_An	100	1984	212.53	1500	7.058
Seúl	34	1988	215.96	1500	6.946
Barcel	0	1992	220.12	1500	6.814
Atlant	320	1996	215.78	1500	6.952
Sydney	1	2000		200	
Sydney	1	2000		400	
Sydney	1	2000		800	
Sydney	1	2000		1500	
