DiamM	AlturaM	VolumenM3	Zpino_radiata
0.21082	21.33600	0.29166	0
0.21844	19.81200	0.29166	0
0.22352	19.20240	0.28883	0
0.26670	21.94560	0.46440	0
0.27178	24.68880	0.53236	0
0.27432	25.29840	0.55784	0
0.27940	20.11680	0.44174	0
0.27940	22.86000	0.51537	0
0.28194	24.38400	0.63996	0
0.28448	22.86000	0.56351	0
0.28702	24.07920	0.68527	0
0.28956	23.16480	0.59465	0
0.28956	23.16480	0.60598	0
0.29718	21.03120	0.60315	0
0.30480	22.86000	0.54085	0
0.32766	22.55520	0.62863	0
0.32766	25.90800	0.95711	0
0.33782	26.21280	0.77588	0
0.34798	21.64080	0.72774	0
0.35052	19.50720	0.70509	0
0.35560	23.77440	0.97693	0
0.36068	24.38400	0.89764	0
0.36830	22.55520	1.02790	0
0.40640	21.94560	1.08454	0
0.41402	23.46960	1.20630	0
0.43942	24.68880	1.56875	0
0.44450	24.99360	1.57725	0
0.45466	24.38400	1.65087	0
0.45720	24.38400	1.45832	0
0.45720	24.38400	1.44416	0
0.52324	26.51760	2.18040	0
0.05000	7.42145	0.00937	1
0.10000	8.95504	0.03498	1
0.15000	9.99513	0.07980	1
0.20000	10.80555	0.14563	1
0.25000	11.47914	0.23384	1
0.05000	7.50874	0.00949	1
0.10000	9.06037	0.03538	1
0.15000	10.11269	0.08067	1
0.20000	10.93264	0.14720	1
0.25000	11.61416	0.23638	1
0.05000	10.45408	0.01382	1
0.10000	12.61436	0.04987	1
0.15000	14.07945	0.11258	1
0.20000	15.22104	0.20433	1
0.25000	16.16988	0.32714	1
0.30000	16.98889	0.48266	1
0.35000	17.71363	0.67211	1
0.05000	10.67981	0.01421	1
0.10000	12.88673	0.05107	1
0.15000	14.38346	0.11507	1
0.20000	15.54970	0.20882	1
0.25000	16.51903	0.33424	1
0.30000	17.35572	0.49311	1
0.35000	18.09611	0.68676	1
0.05000	13.03138	0.01800	1
0.10000	15.72424	0.06359	1
0.15000	17.55053	0.14204	1
0.20000	18.97355	0.25643	1
0.25000	20.15632	0.40942	1
0.30000	21.17724	0.60275	1
0.35000	22.08066	0.83818	1
0.40000	22.89432	1.11737	1
0.10000	16.12378	0.06547	1
0.15000	17.99648	0.14598	1
0.20000	19.45566	0.26341	1
0.25000	20.66848	0.42016	1
0.30000	21.71535	0.61849	1
0.35000	22.64172	0.85981	1
0.40000	23.47606	1.14650	1
0.10000	17.26643	0.07100	1
0.15000	19.27184	0.15725	1
0.20000	20.83443	0.28315	1
0.25000	22.13320	0.45119	1
0.30000	23.25425	0.66350	1
0.35000	24.24627	0.92240	1
0.40000	25.13974	1.22890	1
0.45000	25.95512	1.58533	1
0.15000	19.65062	0.16050	1
0.20000	21.24392	0.28913	1
0.25000	22.56821	0.46062	1
0.30000	23.71130	0.67713	1
0.35000	24.72281	0.94081	1
0.40000	25.63384	1.25338	1
0.45000	26.46525	1.61700	1
0.15000	21.79441	0.18000	1
0.20000	23.56154	0.32350	1
0.25000	25.03031	0.51413	1
0.30000	26.29810	0.75486	1
0.35000	27.41997	1.04768	1
0.40000	28.43038	1.39469	1
0.45000	29.35250	1.79750	1
0.50000	30.20267	2.25794	1
0.55000	30.99294	2.77750	1
