Pais	poblacion	alfabetizacion	tasamortinf	PIB
Acerbaján_	7400	98	35	3000
Afganistán	20500	29	168	205
Alemania	81200	99	6.5	17539
Arabia_Saudí	18000	62	52	6651
Argentina_	33900	95	25.6	3408
Armenia_	3700	98	27	5000
Australia_	17800	100	7.3	16848
Austria_	8000	99	6.7	18396
Bahrein_	600	77	25	7875
Bangladesh	125000	35	106	202
Barbados	256	99	20.3	6950
Bélgica_	10100	99	7.2	17912
Bielorusia	10300	99	19	6500
Bolivia_	7900	78	75	730
Bosnia	4600	86	12.7	3098
Botswana	1359	72	39.3	2677
Brasil	156600	81	66	2354
Bulgaria	8900	93	12	3831
Burkina_Faso	10000	18	118	357
Burundi_	6000	50	105	208
Camboya_	10000	35	112	260
Camerún_	13100	54	77	993
Canadá	29100	97	6.8	19904
Chile_	14000	93	14.6	2591
China_	1205200	78	52	377
Colombia	35600	87	28	1538
Corea_del_Norte_	23100	99	27.7	1000
Corea_del_Sur_	45000	96	21.7	6627
Costa_Rica	3300	93	11	2031
Croacia_	4900	97	8.7	5487
Cuba	11100	94	10.2	1382
Dinamarca_	5200	99	6.6	18277
Ecuador_	10700	88	39	1085
Egipto	60000	48	76.4	748
El_Salvador_	5800	73	41	1078
Emiratos_Árabes_	2800	68	22	14193
España	39200	95	6.9	13047
Estados_Unidos	260800	97	8.1	23474
Estonia_	1600	99	19	6000
Etiopía_	55200	24	110	122
Filipinas_	69800	90	51	867
Finlandia_	5100	100	5.3	15877
Francia_	58000	99	6.7	18944
Gabón_	1300	61	94	4283
Gambia	959	27	124	351
Georgia_	5500	99	23	4500
Gran_Bretaña	58400	99	7.2	15974
Grecia	10400	93	8.2	8060
Guatemala_	10300	55	57	1342
Haití_	6500	53	109	383
Honduras	5600	73	45	1030
Hong_Kong_	5800	77	5.8	14641
Hungía	10500	99	12.5	5249
India_	911600	52	79	275
Indonesia_	199700	77	68	681
Irán	65600	54	60	1500
Iraq	19900	60	67	1955
Irlanda_	3600	98	7.4	12170
Islandia	263	100	4	17241
Israel	5400	92	8.6	13066
Italia	58100	97	7.6	17500
Japón_	125500	99	4.4	19860
Jordania	3961	80	34	1157
Kenia_	28200	69	74	323
Kuwait	1800	73	12.5	6818
Letonia_	2700	99	21.5	7400
Líbano	3620	80	39.5	1429
Liberia_	2900	40	113	409
Libia_	5500	64	63	5910
Lituania	3800	99	17	6710
Malasia_	19500	78	25.6	2995
Marruecos_	28600	50	50	1062
México	91800	87	35	3604
Nicaragua_	4100	57	52.5	447
Nigeria_	98100	51	75	282
Noruega_	4300	99	6.3	17755
Nueva_Zelanda_	3524	99	8.9	14381
Países_Bajos	15400	99	6.3	17245
Pakistán	128100	35	101	406
Panamá	2600	88	16.5	2397
Paraguay	5200	90	25.2	1500
Perú	23650	85	54	1107
Polonia_	38600	99	13.8	4429
Portugal	10500	85	9.2	9000
Rep._C._Africana	3300	27	137	457
Rep._Dominicana_	7800	83	51.5	1034
Ruanda	8400	50	117	292
Rumanía_	23400	96	20.3	2702
Rusia_	149200	99	27	6680
Senegal_	8700	38	76	744
Singapur	2900	88	5.7	14990
Siria_	14900	64	43	2436
Somalia_	6667	24	126	2126
Sudáfrica_	43900	76	47.1	3128
Suecia	8800	99	5.7	16900
Suiza_	7000	99	6.2	22384
Tailandia_	59400	93	37	1800
Taiwan	20944	91	5.1	7055
Tanzania	29800	46	110	263
Turquía_	62200	81	49	3721
Ucrania_	51800	97	20.7	2340
Uganda	19800	48	112	325
Uruguay_	3200	96	17	3131
Uzbekistán	22600	97	53	1350
Venezuela_	20600	88	28	2829
Vietnam_	73100	88	46	230
Zambia	9100	73	85	573
