Education	Salary
15	57000
16	40200
12	21450
8	21900
15	45000
15	32100
15	36000
12	21900
15	27900
12	24000
16	30300
8	28350
15	27750
15	35100
12	27300
12	40800
15	46000
16	103750
12	42300
12	26250
16	38850
12	21750
15	24000
12	16950
15	21150
15	31050
19	60375
15	32550
19	135000
15	31200
12	36150
19	110625
15	42000
19	92000
17	81250
8	31350
12	29100
15	31350
16	36000
15	19200
12	23550
15	35100
12	23250
8	29250
12	30750
15	22350
12	30000
12	30750
15	34800
16	60000
12	35550
15	45150
18	73750
12	25050
12	27000
15	26850
15	33900
15	26400
15	28050
12	30900
8	22500
16	48000
17	55000
16	53125
8	21900
19	78125
16	46000
16	45250
16	56550
15	41100
17	82500
16	54000
12	26400
15	33900
15	24150
15	29250
12	27600
12	22950
16	34800
16	51000
12	24300
12	24750
12	22950
8	25050
15	25950
15	31650
12	24150
19	72500
19	68750
8	16200
12	20100
8	24000
12	25950
12	24600
12	28500
8	30750
17	40200
8	30000
12	22050
18	78250
16	60625
14	39900
19	97000
15	27450
15	31650
19	91250
12	25200
12	21000
12	30450
15	28350
12	30750
12	30750
16	54875
14	37800
15	33450
15	30300
12	31500
12	31650
12	25200
16	37800
15	18750
15	32550
12	33300
16	38550
12	27450
15	24300
12	30750
12	19650
17	68750
20	59375
15	31500
12	27300
15	27000
16	41550
12	26250
12	22200
21	65000
12	30900
8	20100
12	22350
15	35550
12	28500
12	24450
8	16650
12	26700
18	43950
15	23700
15	26550
12	27600
12	25800
16	42300
8	30750
12	26700
12	20850
15	35250
15	26700
12	26550
12	27750
16	25050
16	66000
16	52650
16	45625
15	30900
15	29400
15	33300
12	21900
12	18150
16	46875
12	25500
12	26550
12	26700
15	29850
20	69250
8	31950
8	26250
16	35700
12	28500
12	17100
12	25200
12	24000
12	27450
12	18450
15	39300
15	38850
8	30750
15	37500
16	58750
12	34500
12	36000
8	29100
12	16500
12	19650
12	24750
15	27150
12	26400
16	23100
15	54900
19	70875
16	51250
17	67500
12	29340
15	39600
12	29100
15	33150
16	66750
12	33750
15	27300
12	24000
8	19800
15	30600
15	28950
15	38400
8	30750
12	20400
12	19200
15	30150
16	34620
15	80000
12	25350
12	29850
12	24000
15	27750
8	22350
12	16200
15	21900
16	23250
12	33900
15	25650
12	17250
15	22500
16	40200
19	55500
15	26550
15	50550
19	75000
8	27450
12	22650
12	27300
12	27750
16	54375
8	17400
12	40800
12	23100
8	22500
12	26700
12	24900
12	19650
12	22050
12	25500
15	28200
12	23100
12	25500
8	17100
18	68125
12	30600
19	52125
19	61875
8	21300
12	19650
12	22350
12	23400
12	24300
12	28500
12	19950
12	23400
16	34500
12	18150
12	22350
15	40200
15	28650
15	27750
18	66875
12	30000
16	83750
12	33900
16	56500
16	43000
8	20850
12	24450
12	24750
8	34500
14	27900
19	68125
19	73500
8	30750
15	40050
16	40350
15	38700
17	65000
18	51450
12	35250
14	25950
15	25050
12	26700
8	24000
12	26850
12	23400
12	24600
15	32550
16	26550
12	31500
8	22350
12	35250
15	25800
12	30750
15	30750
16	50000
15	34500
15	26250
16	44875
12	22500
12	25650
12	21300
12	29850
12	34500
15	27750
12	27750
16	48750
15	43410
12	22050
12	22050
12	22500
15	25500
12	29160
8	16800
8	29550
12	26700
18	55000
18	62500
15	27300
12	24450
16	33000
15	37050
12	24450
8	31950
16	47250
12	26100
8	15900
8	23700
8	21750
12	59400
12	24450
16	103500
12	35700
12	22200
15	22950
12	23100
16	56750
17	29100
12	37650
12	27900
8	21150
12	31200
12	20550
15	25950
15	28350
8	17700
15	23550
12	19950
12	29400
12	28800
8	16950
16	35700
12	17400
8	21450
12	24750
12	16950
12	26100
14	28050
16	36600
16	58125
15	21300
12	22500
15	29400
12	27450
15	29850
15	25350
8	15750
8	19650
12	21000
17	27000
12	24000
17	78500
12	20850
12	30000
8	28500
19	65000
14	30150
19	66875
15	24150
12	24450
12	21600
12	27900
8	29100
12	22650
12	20850
12	22950
12	30600
12	20400
12	23850
12	22800
12	20700
12	21300
12	24300
12	19650
17	60000
15	30300
19	61250
19	36000
8	25200
12	16200
12	22800
16	43500
8	30300
15	31950
15	35250
15	37800
15	31200
15	29400
19	70000
15	33900
15	27150
12	22200
15	31350
12	20850
16	33300
8	26250
15	31950
8	30000
19	66250
18	86250
12	30750
12	33540
16	34950
15	40350
12	30270
8	26250
15	32400
12	20400
8	24150
15	23850
12	29700
8	21600
12	24450
15	28050
16	100000
15	49000
12	16350
16	70000
19	55000
15	28500
12	28800
15	24450
19	90625
16	43650
19	75000
15	31650
19	61875
12	21750
12	22500
8	21600
16	34410
15	20700
19	47550
12	33900
12	23400
16	32850
16	55750
15	25200
12	26250
15	26400
15	39150
12	21450
12	29400
