Individuo     Lente         Desgaste                        
1             	A             	6.7           
1             	B             	6.9           
2             	A             	5             
2             	B             	5.8           
3             	A             	3.6           
3             	B             	4.1           
4             	A             	6.2           
4             	B             	7             
5             	A             	5.9           
5             	B             	7             
6             	A             	4             
6             	B             	4.6           
7             	A             	5.2           
7             	B             	5.5           
8             	A             	4.5           
8             	B             	5             
9             	A             	4.4           
9             	B             	4.3           
10            	A             	4.1           
10            	B             	4.8           
