Tipo        duracion           	CU            	DUC                             	                           
a             	602           	0.985         	611           	              
b             	863           	0.935         	923           	              
a             	529           	0.985         	537           	              
d             	235           	0.495         	476           	              
a             	534           	0.985         	542           	              
a             	585           	0.985         	593           	              
b             	743           	0.935         	794           	              
c             	232           	0.52          	445           	              
d             	282           	0.495         	569           	              
b             	773           	0.935         	827           	              
b             	840           	0.935         	898           	              
c             	255           	0.52          	490           	              
d             	238           	0.495         	480           	              
c             	200           	0.52          	384           	              
d             	228           	0.495         	460           	              
c             	215           	0.52          	413           	              
