Mezclador Medidor    Resistencia
1          1            5280
1          1            5520
1          1            4760
1          1            5800
1          2            4340
1          2            4400
1          2            5020
1          2            6200
1          3            4160
1          3            5180
1          3            5320
1          3            4600
2          1            4420
2          1            5280
2          1            5580
2          1            4900
2          2            5340
2          2            4880
2          2            4960
2          2            6200
2          3            4180
2          3            4800
2          3            4600
2          3            4480
3          1            5360
3          1            6160
3          1            5680
3          1            5500
3          2            5720
3          2            4760
3          2            5620
3          2            5560
3          3            4460
3          3            4930
3          3            4680
3          3            5600       
