Laboratorio  Aleacion         	Col_3                           
1             	1             	10.96         
1             	1             	11.03         
1             	1             	11.08         
1             	1             	11.01         
2             	1             	10.97         
2             	1             	10.96         
2             	1             	10.94         
2             	1             	10.95         
1             	2             	10.95         
1             	2             	11            
1             	2             	11.04         
1             	2             	10.97         
2             	2             	10.97         
2             	2             	10.96         
2             	2             	10.97         
2             	2             	10.98         
1             	3             	11.07         
1             	3             	11.01         
1             	3             	10.97         
1             	3             	11.03         
2             	3             	11.02         
2             	3             	11            
2             	3             	11.01         
2             	3             	11.01         
