Coche       Sensor            	CO                              
1             	A             	72.1          
1             	B             	74            
2             	A             	68.2          
2             	B             	68.8          
3             	A             	70.9          
3             	B             	71.2          
4             	A             	74.3          
4             	B             	74.2          
5             	A             	70.7          
5             	B             	71.8          
6             	A             	66.6          
6             	B             	66.4          
7             	A             	69.5          
7             	B             	69.8          
8             	A             	70.8          
8             	B             	71.3          
9             	A             	68.8          
9             	B             	69.3          
10            	A             	73.3          
10            	B             	73.6          
