Estrategia     Precio   	Ventas                          
Normal        	Usual         	989           
Normal        	Usual         	1025          
Normal        	Usual         	1030          
Pasillo       	Usual         	1191          
Pasillo       	Usual         	1233          
Pasillo       	Usual         	1221          
Doble         	Usual         	1226          
Doble         	Usual         	1202          
Doble         	Usual         	1180          
Normal        	Reducido      	1211          
Normal        	Reducido      	1215          
Normal        	Reducido      	1182          
Pasillo       	Reducido      	1860          
Pasillo       	Reducido      	1910          
Pasillo       	Reducido      	1926          
Doble         	Reducido      	1516          
Doble         	Reducido      	1501          
Doble         	Reducido      	1498          
Normal        	Perdidas      	1577          
Normal        	Perdidas      	1559          
Normal        	Perdidas      	1598          
Pasillo       	Perdidas      	2492          
Pasillo       	Perdidas      	2527          
Pasillo       	Perdidas      	2511          
Doble         	Perdidas      	1801          
Doble         	Perdidas      	1833          
Doble         	Perdidas      	1852          
