Marca	Alquitran	Nicotina	CO
Alpine	14.1	0.86	13.6
Benson_&_Edges	16	1.06	16.6
Bull_Durham_	29.8	2.03	23.5
Camel_lights	8	0.67	10.2
Carlton_	4.1	0.4	5.4
Chesterfield	15	1.04	15
Golden_lights_	8.8	0.76	9
Kent	12.4	0.95	12.3
Kool	16.6	1.12	16.3
L&M_	14.9	1.02	15.4
Lark_lights_	13.7	1.01	13
Marlboro	15.1	0.9	14.4
Merit_	7.8	0.57	10
Multi_Filter	11.4	0.78	10.2
Newport_lights	9	0.74	9.5
Now_	1	0.13	1.5
Old_Gold	17	1.26	18.5
Pall_Mall_lights	12.8	1.08	12.6
Raleigh_	15.8	0.96	17.5
Salem_Ultra_	4.5	0.42	4.9
Tareyton	14.5	1.01	15.9
True	7.3	0.61	8.5
Viceroy_Rich_light	8.6	0.69	10.6
Virginia_Slims	15.2	1.02	13.9
Winston_lights	12	0.82	14.9
