Antiguedad     	Tipo          	Campus        	ConcFe                          
Viejo         	Academico     	Medford       	0.23          
Nuevo         	Academico     	Medford       	0.36          
Viejo         	Residencial   	Medford       	0.03          
Nuevo         	Residencial   	Medford       	0.05          
Viejo         	Academico     	Somerville    	0.08          
Nuevo         	Academico     	Somerville    	0.03          
Viejo         	Residencial   	Somerville    	0.04          
Nuevo         	Residencial   	Somerville    	0.02          
Viejo         	Academico     	Medford       	0.28          
Nuevo         	Academico     	Medford       	0.29          
Viejo         	Residencial   	Medford       	0.06          
Nuevo         	Residencial   	Medford       	0.02          
Viejo         	Academico     	Somerville    	0.05          
Nuevo         	Academico     	Somerville    	0.08          
Viejo         	Residencial   	Somerville    	0.07          
Nuevo         	Residencial   	Somerville    	0.06          
